,stabf
13,0
31546,1
24247,0
55309,0
45508,0
27047,0
10472,1
9179,0
34007,0
18122,0
44050,0
47618,1
46635,1
57953,1
46192,0
51783,1
6838,1
46794,1
37877,1
59420,0
46530,0
21016,0
35660,0
29752,0
19,0
36878,1
5631,1
5717,0
41030,0
23258,0
34248,1
48937,0
57301,0
24108,1
20756,0
4886,1
34124,1
6539,0
4357,0
55259,1
50610,0
7259,0
43909,0
3916,1
21525,0
39505,1
24316,1
36419,0
18783,0
20536,1
42568,0
24274,1
4706,0
14720,1
50591,0
39765,1
611,1
974,0
18698,1
58834,0
3969,0
20229,0
49821,0
27446,0
58675,0
2234,0
8114,0
17639,1
55575,0
6360,1
22609,0
26011,1
30424,1
42622,0
30658,0
14566,0
22884,0
25822,1
26868,0
36537,0
14789,0
22336,0
18723,0
310,0
26693,1
18891,1
27554,1
24158,1
2655,1
46067,0
37574,0
57278,1
50110,0
14353,1
35920,1
36364,0
28801,1
51738,0
28050,1
49761,0
3997,1
14735,1
53565,1
16672,0
11635,1
17147,0
30136,0
40808,1
11505,0
56840,0
16707,0
29132,0
30480,1
40304,0
49274,1
58650,1
23647,0
41681,1
21685,0
38897,0
49121,1
17063,0
49836,1
30780,1
57867,0
2820,0
1810,0
5738,1
12174,0
13866,0
24614,1
6924,0
10687,0
20640,0
36482,0
15024,1
16770,1
42398,0
4571,0
19449,0
7527,1
51624,0
14218,0
46819,0
39213,1
3597,1
54875,0
51485,0
46869,0
38698,1
44784,0
39874,0
53904,0
35723,0
51532,0
49808,0
4703,0
13082,0
29718,0
19093,1
48436,1
48254,0
32131,0
43805,0
3547,1
49497,0
55122,1
14856,0
12853,0
10724,1
33372,1
56219,0
2695,0
49206,0
45639,1
59880,0
12338,0
39189,1
56345,1
56257,0
14046,1
28638,1
33426,1
38588,0
17311,1
15318,0
58389,0
149,0
2062,0
59162,0
36327,1
38522,0
54828,0
39967,1
52200,0
50361,0
50513,0
36643,0
50904,1
30257,0
21273,0
16774,0
44727,0
4999,1
49074,0
25895,0
53656,0
45109,0
2764,1
20075,0
9973,1
58833,0
2168,0
51967,0
24903,0
35846,0
51418,1
31767,0
57840,0
43738,0
36514,0
43664,0
56422,0
55972,0
59943,1
4546,0
23681,1
8743,0
14535,1
54786,0
1195,0
47022,0
49311,0
56810,0
32158,0
9566,1
15060,0
12426,0
39335,0
17466,0
6369,0
51249,0
28257,0
14604,1
51466,0
59908,0
21857,0
44840,0
32113,0
27652,1
10761,0
33563,1
50930,1
34588,0
15008,1
10227,0
1124,0
20967,1
439,1
37839,1
19827,0
58537,0
28616,1
59599,0
50510,0
14745,0
25183,1
51227,0
34493,1
5150,0
26506,1
39487,0
12055,0
27449,0
28128,1
18621,0
55984,0
19280,0
51185,0
38609,1
18570,0
9793,0
51381,0
45330,0
9111,0
54644,0
56975,0
41835,0
36405,0
39711,1
54069,0
58804,0
11903,1
35274,0
23603,0
8287,1
24831,0
35200,0
20550,1
48467,0
20283,0
41461,0
47121,1
52355,0
51962,1
35797,1
36935,1
26048,1
8376,1
26018,0
6994,0
52503,1
51554,1
52729,0
16846,0
43377,0
54978,0
31547,0
30283,0
59013,1
43471,0
10894,0
3748,0
3246,0
3222,0
7015,1
33140,0
18138,1
30194,0
44945,1
52854,1
8474,1
44418,0
10289,0
3390,0
38854,1
43444,0
9415,1
22689,1
42059,0
59063,0
18394,0
1755,0
54098,0
12258,1
10412,1
11384,0
48756,0
55990,1
50914,1
41919,0
59747,1
55267,0
20600,1
15161,0
13161,0
33040,0
17697,0
35137,0
20251,1
48335,0
25786,1
30541,0
10298,1
29986,0
27698,1
26786,0
50986,0
30985,0
38828,0
41013,0
52225,0
6605,0
11563,1
20591,0
43787,1
11966,1
14299,0
58102,1
1746,1
8855,0
56832,0
19229,1
58103,0
21429,0
5830,0
13609,1
17999,0
47739,0
35466,0
27613,0
35560,0
30138,1
34165,1
51184,0
32123,0
55773,1
47116,1
52613,1
11513,1
9406,0
36155,1
59806,1
24962,1
11999,1
7851,1
58300,1
32137,1
8962,0
57423,0
12777,0
6905,0
38282,1
40951,0
21509,1
42216,1
33650,0
50472,1
13469,0
27581,0
55683,0
55062,1
55710,0
49478,1
22633,0
30212,1
24142,1
33206,1
22987,1
10693,0
8049,1
2087,0
9045,0
33277,1
43751,0
22248,0
56877,0
53875,1
53412,1
7657,0
12589,1
13307,0
14541,0
53307,0
34121,0
54041,1
22318,1
17718,0
4976,0
661,0
1231,0
15108,0
50016,0
15705,1
31766,0
46747,0
18125,1
23879,0
49440,1
44023,0
48418,0
35328,0
54417,0
57855,1
45643,0
50370,0
5363,1
11042,1
46545,1
33248,1
24304,0
11622,0
47149,0
15544,0
22696,1
20145,0
39714,0
37913,1
18462,0
46275,0
43198,0
35139,1
42806,0
35467,0
39556,1
37216,1
11781,1
44690,0
15978,1
33723,0
21987,0
19753,0
40269,1
3233,0
35308,1
29447,1
52369,0
7559,0
48819,0
21790,1
58511,0
1957,0
24633,0
14942,1
57043,1
46300,1
32412,0
34887,1
3593,1
15774,0
1242,0
10847,1
16418,0
29811,0
12805,0
20061,0
10931,0
21854,0
32038,1
2646,1
37977,0
21381,0
19012,0
42238,1
47601,0
32948,0
41597,1
23198,0
9219,0
22193,1
6474,0
57932,0
31995,0
4958,1
18875,1
54611,0
39457,0
13402,1
35431,0
45457,0
53386,0
34997,1
29747,1
13306,0
51240,1
803,0
27316,0
52768,1
57232,0
52168,0
58573,1
17339,1
53492,1
27516,1
4585,0
52545,1
1550,0
50269,1
10136,0
38109,0
14180,0
34269,1
2509,0
35532,1
39201,1
11113,0
7238,1
5234,1
54413,0
26160,1
37264,0
28709,1
16899,0
9012,0
16567,0
57238,1
46420,0
53634,0
52996,0
44113,0
31379,1
26849,1
8698,1
9097,0
51336,0
26591,0
35829,0
16592,1
32925,0
46044,1
11460,0
49416,1
12239,0
48582,1
10303,1
3809,1
3683,1
37826,1
49934,0
24,0
12801,0
4307,0
9900,0
59431,1
33832,1
4319,1
42168,0
52736,0
54333,0
6603,0
54153,1
1742,1
33569,0
16897,0
35812,0
36760,0
13796,0
13252,1
13581,0
26654,0
18707,0
2934,1
23687,1
1313,1
38485,1
8356,0
21894,1
33950,0
31711,1
22345,1
18420,1
43348,1
29739,1
7040,0
13983,1
9114,1
25560,0
33227,0
23729,0
40672,0
31539,1
59539,1
35008,1
38513,0
1993,1
32947,1
13886,1
21409,0
196,1
33273,1
32502,0
48182,0
49603,1
40043,0
13813,0
10999,0
15267,0
49803,0
46196,1
32227,0
2042,0
9686,0
27894,0
37425,1
15056,0
23966,0
694,0
17366,1
18869,0
12296,0
21214,0
25117,0
53566,1
48340,0
36621,0
37538,0
5760,0
42010,1
46273,0
48575,0
52288,1
4325,1
17834,0
48922,0
7107,0
13622,1
57924,1
18250,0
32479,0
22895,1
56608,0
51580,0
35314,0
23072,0
39392,1
39812,0
54057,0
47629,0
46147,0
4985,0
16375,0
45949,1
30492,0
44595,0
4472,0
29744,1
4214,0
45373,0
18996,1
17892,0
9530,0
13225,0
52501,1
59075,0
15747,0
59114,1
30166,0
38043,0
22675,1
53437,0
15073,1
17442,1
18862,1
37644,0
35540,1
47281,1
17280,1
2281,0
15233,0
39818,1
18512,1
9508,0
44764,0
34886,1
45713,0
43728,0
43200,0
44782,1
24776,0
44042,1
53806,0
54912,1
45542,0
2219,1
17828,1
6100,0
9396,0
48951,1
29016,1
23042,0
57054,0
47742,0
13460,1
25640,1
27729,1
3986,0
49439,0
53186,0
7841,0
3947,1
59884,0
56644,0
56395,1
3780,0
45784,0
37260,1
50620,1
9050,1
3864,0
23668,0
42987,1
18810,1
31837,0
19363,1
31600,1
26230,1
12499,0
10185,1
44044,0
7498,1
8443,0
2170,1
41318,0
25014,0
34156,1
51546,1
8368,1
20068,0
42691,0
372,1
2595,0
45175,0
50279,0
22164,1
634,1
1194,0
8224,0
5650,0
9606,0
28308,1
53234,1
50384,1
33155,1
23526,1
20993,0
34974,0
17797,0
51828,1
12142,1
51045,0
37544,1
14468,0
15348,1
10208,1
33495,1
4583,0
47186,1
31326,1
23897,0
3516,1
30907,1
33198,0
2417,0
1784,0
32211,1
52488,1
9593,1
4685,1
11418,1
45091,0
31434,1
25512,0
9797,0
28467,0
55815,0
10758,1
351,0
41784,0
34369,0
35006,0
4114,0
27278,1
3619,0
15376,1
26486,0
53550,0
48762,0
25887,0
2750,0
53838,1
32233,0
58655,0
44312,0
42171,0
17922,1
31872,0
30471,1
5952,1
291,0
46508,0
43118,0
4025,0
14191,1
6298,0
19837,1
44160,0
42689,1
4987,1
24038,0
26236,0
23087,0
44361,0
54067,0
28745,1
14702,0
42676,0
46769,0
2609,0
47696,0
42158,0
38700,1
11219,1
33930,1
55074,0
181,1
34171,0
26116,0
39537,1
35748,1
14153,1
17569,0
34628,0
15961,0
9933,0
38896,0
36821,1
22495,1
40504,0
30882,0
38284,1
9480,0
46522,0
5447,0
50288,1
19356,1
46962,0
5975,1
4227,0
2420,0
816,1
44309,0
47119,0
44663,0
22380,0
19441,0
16948,0
7828,1
41057,0
24662,0
26228,0
27917,0
45736,0
41373,1
34987,1
27118,1
8212,0
54562,1
2706,1
1425,0
43116,0
41414,0
40409,0
28303,0
7161,0
12622,0
59798,1
14750,0
13667,0
40071,0
47062,0
40760,0
45805,0
10304,0
32593,0
21178,0
17374,1
50875,1
9366,0
43003,0
3024,0
55915,0
49557,1
16046,1
10896,1
56628,1
7756,0
12038,1
41102,0
45890,0
10295,0
19373,0
58210,0
21829,0
40087,0
3356,1
408,0
58395,0
47314,1
49878,0
24816,0
52392,0
10634,1
28466,0
27336,0
58392,1
58339,0
6922,0
29995,0
3289,1
55684,0
12366,0
38181,1
13869,0
7173,0
51581,0
59618,1
21754,0
11149,1
6987,1
59503,1
59821,0
42018,0
1116,1
6770,1
21368,0
20410,1
48253,0
14355,1
24094,0
25098,0
13316,0
14392,1
25660,0
56359,0
21059,1
41519,0
11186,1
48425,0
32782,1
